record_id,policy_id,recorded_date,date_updated,date_announced,date_start,date_end,entry_type,update_type,event_description,domestic_policy,type,type_sub_cat,type_text,index_high_est,index_med_est,index_low_est,index_country_rank,correct_type,country,init_country_level,province,city,source_corr_type,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,link,ISO_A3,ISO_A2
1000775Ds,1342691,2020-04-04T15:43:15Z,2020-04-04,2020-03-14,2020-03-14,NA,update,NA,"Chile extends mandatory quarantine for people from high risk countries, now including in total: Spain, Italy, Iran, China, Korea, Japan, France and Germany from March 14.",0,Quarantine,Self-Quarantine (i.e. quarantine at home),NA,52.036329074795,51.2255172664107,50.206608995845414,113,original,Chile,National,NA,NA,NA,"China,France,Germany,Iran,Italy,Japan,North Korea,South Korea,Spain","One or more countries, but not all countries",NA,NA,NA,NA,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,All kinds of transport,Mandatory with Fines,"National Government,Ministry/Department of Health",https://www.gob.cl/noticias/covid-19-ministerio-de-salud-confirma-que-chile-paso-fase-3/,CHL,CL
1000775Dm,1342691,2020-04-04T15:43:15Z,2020-04-04,2020-03-14,2020-03-14,NA,update,NA,"Chile extends mandatory quarantine for people from high risk countries, now including in total: Spain, Italy, Iran, China, Korea, Japan, France and Germany from March 14.",0,Quarantine,Quarantine outside the home or government facility (i.e. quarantine in a hotel),NA,52.036329074795,51.2255172664107,50.206608995845414,113,original,Chile,National,NA,NA,NA,"China,France,Germany,Iran,Italy,Japan,North Korea,South Korea,Spain","One or more countries, but not all countries",NA,NA,NA,NA,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,All kinds of transport,Mandatory with Fines,"National Government,Ministry/Department of Health",https://www.gob.cl/noticias/covid-19-ministerio-de-salud-confirma-que-chile-paso-fase-3/,CHL,CL
1003875NA,1003875,2020-04-15T11:04:50Z,2020-04-15,2020-04-07,2020-04-07,NA,new_entry,NA,"On April 7th, the Guatemalan Congress suspends sessions indefinitely due to the emergency in order to protect the parliamentarians.",1,Other Policy Not Listed Above,NA,NA,56.1788408289658,54.83054981292702,53.59422396656857,181,original,Guatemala,National,NA,NA,NA,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),National Government,https://www.prensalibre.com/guatemala/politica/coronavirus-congreso-suspende-sesiones-por-tiempo-indefinido-ante-emergencia/,GTM,GT
1004103NA,1004103,2020-05-15T11:04:46Z,2020-05-15,2020-05-15,2020-05-15,NA,new_entry,NA,"The total number of recoveries from coronavirus in Turkey rose to 106,133, the country’s health minister said on Friday (May 15).

The death toll from the pandemic rose to 4,055 as the country reported 48 new fatalities over the past 24 hours, Fahrettin Koca said, citing the Health Ministry data.",1,Other Policy Not Listed Above,NA,NA,NA,NA,NA,NA,original,Turkey,National,NA,NA,NA,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/turkey-covid-19-recoveries-surpass-106-000/1842454,TUR,TR
1004681NA,2575122,2020-04-03T08:33:25Z,2020-04-03,2020-03-22,2020-03-25,NA,update,NA,"On 22nd March, Kenya suspends ""all  international  flights ...  effective  Wednesday March 25th, 2020 at midnight with the exception of cargo flights whose crew  must  observe  strict  guidelines"".",0,External Border Restrictions,NA,NA,54.14312555819563,53.081734323436834,52.280793712568716,144,original,Kenya,National,NA,NA,NA,All countries,All countries,NA,NA,NA,NA,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,Flights,Mandatory (Unspecified/Implied),National Government,http://www.health.go.ke/wp-content/uploads/2020/03/CORONA-PRESS-STATEMENT-MARCH-22.pdf,KEN,KE
100526NA,100526,2020-04-11T03:45:41Z,2020-04-11,2020-04-02,2020-04-02,NA,new_entry,NA,"On April 2nd, the Canton of Bern, Switzerland opens a Drive-In-test center",1,Health Testing,NA,NA,55.981518222500696,54.90190672944678,53.77707297513437,182,original,Switzerland,"Yes, it is at the province/state level",Bern,NA,NA,Switzerland,A geographical or administrative unit within a country,NA,Bern,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Voluntary/Recommended but No Penalties,Provincial/State Government,https://www.bielertagblatt.ch/nachrichten/schweiz/kanton-bern-eroeffnet-corona-drive-testzentrum-bern,CHE,CH
4866080NA,1005278,2020-03-30T05:21:44Z,2020-03-30,2020-03-20,2020-03-21,NA,new_entry,NA,"Italy is enforcing Social Distancing on all citizens (Individual sports and walks were now restricted to the immediate vicinity, games and other outdoor activities were expressly prohibited, and playgrounds and sports fields were no longer allowed to be entered. Furthermore, it was forbidden to go to other apartments on or before public holidays and on weekends, which also made it impossible to use one's own holiday home at these times) after March 20.",1,Social Distancing,NA,NA,56.6577211662515,53.665171758828706,50.42089721238858,168,correction,Italy,National,NA,NA,NA,Italy,NA,NA,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",https://www.gazzettaufficiale.it/eli/id/2020/03/20/20A01797/sg,ITA,IT
1005610Dc,1005610,2020-05-29T07:51:28Z,2020-05-29,2020-05-07,2020-05-07,NA,new_entry,NA,"Schools have reopened from May 7. The Government chief also decided mask-wearing and social distancing are not mandatory for students in classrooms but students are advised to maintain personal hygiene and regularly wash hands with antibacterial soap or sanitizer. Doors and windows should be opened at times to facilitate air circulation while classrooms must be clean




",1,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),NA,NA,NA,NA,NA,original,Vietnam,National,NA,NA,NA,Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),National Government,http://news.chinhphu.vn/Home/Govt-chief-allows-resumption-of-nonessential-services/20205/40021.vgp,VNM,VN
1005610Dd,1005610,2020-05-29T07:51:28Z,2020-05-29,2020-05-07,2020-05-07,NA,new_entry,NA,"Schools have reopened from May 7. The Government chief also decided mask-wearing and social distancing are not mandatory for students in classrooms but students are advised to maintain personal hygiene and regularly wash hands with antibacterial soap or sanitizer. Doors and windows should be opened at times to facilitate air circulation while classrooms must be clean




",1,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),NA,NA,NA,NA,NA,original,Vietnam,National,NA,NA,NA,Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),National Government,http://news.chinhphu.vn/Home/Govt-chief-allows-resumption-of-nonessential-services/20205/40021.vgp,VNM,VN
1005610Dr,1005610,2020-05-29T07:51:28Z,2020-05-29,2020-05-07,2020-05-07,NA,new_entry,NA,"Schools have reopened from May 7. The Government chief also decided mask-wearing and social distancing are not mandatory for students in classrooms but students are advised to maintain personal hygiene and regularly wash hands with antibacterial soap or sanitizer. Doors and windows should be opened at times to facilitate air circulation while classrooms must be clean




",1,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),NA,NA,NA,NA,NA,original,Vietnam,National,NA,NA,NA,Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),National Government,http://news.chinhphu.vn/Home/Govt-chief-allows-resumption-of-nonessential-services/20205/40021.vgp,VNM,VN
